                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0511,                 1.6653,                 1.3222,                0.81266,                0.96429,                0.83339,                0.62348,                 0.9666,                 1.2404,                 1.2678,              0.0033208,              0.0033208,              0.0033208
                      2,                0.98702,                0.71386,                 1.2141,                 0.8054,                0.98956,                0.85595,                0.62611,                 1.0156,                0.90674,                 1.3274,              0.0066322,              0.0066322,              0.0066322
                      3,                 1.0379,                0.75781,                 1.2416,                0.72119,                0.80089,                0.72942,                0.48304,                 1.1263,                 1.2433,                 1.4318,              0.0099216,              0.0099216,              0.0099216
                      4,                 1.0885,                 0.8001,                 1.2853,                0.55878,                0.46915,                 0.4529,                0.31126,                 1.2226,                 2.9186,                 1.5622,               0.009901,               0.009901,               0.009901
                      5,                 1.0774,                0.75347,                 1.2765,                0.51392,                0.46402,                0.38794,                0.27548,                 1.4424,                 4.0766,                  1.874,               0.009901,               0.009901,               0.009901
                      6,                 1.0674,                 0.7083,                 1.2701,                0.74236,                0.87131,                0.81955,                0.59564,                 1.0193,                 1.0039,                 1.3582,               0.009868,               0.009868,               0.009868
                      7,                 1.0546,                  0.676,                  1.256,                 0.7976,                0.93914,                0.83877,                0.62823,                0.96432,                 0.7941,                 1.2913,               0.009835,               0.009835,               0.009835
                      8,                 1.0371,                 0.6646,                 1.2466,                0.79568,                0.96694,                0.81703,                0.60381,                 0.9915,                 0.8099,                 1.3144,               0.009802,               0.009802,               0.009802
                      9,                 1.0337,                0.63291,                  1.237,                0.77035,                0.81669,                 0.7606,                0.52711,                 1.1256,                 1.3061,                 1.5289,               0.009769,               0.009769,               0.009769
                     10,                 1.0117,                0.61489,                 1.2304,                  0.814,                0.93925,                0.85372,                0.64312,                0.95236,                0.84396,                 1.2834,               0.009736,               0.009736,               0.009736
                     11,                0.99471,                0.59384,                 1.2205,                0.81776,                 0.9722,                0.84455,                0.65354,                0.91313,                0.70981,                 1.2661,               0.009703,               0.009703,               0.009703
                     12,                0.98298,                0.58725,                 1.2119,                0.81344,                0.96826,                0.82905,                0.63231,                 0.9319,                 0.7127,                  1.278,                0.00967,                0.00967,                0.00967
                     13,                0.99288,                0.58387,                 1.2107,                0.82199,                 0.9907,                0.86001,                 0.6604,                0.90528,                0.77366,                  1.257,               0.009637,               0.009637,               0.009637
                     14,                0.97653,                0.55695,                 1.2034,                0.82638,                0.99191,                0.84689,                0.64996,                0.94785,                0.78073,                  1.269,               0.009604,               0.009604,               0.009604
                     15,                0.97658,                0.55714,                 1.1932,                  0.827,                 0.9923,                0.84199,                0.64042,                0.92588,                0.79962,                 1.2155,               0.009571,               0.009571,               0.009571
                     16,                0.96866,                 0.5434,                  1.192,                  0.824,                0.99456,                0.84006,                0.65307,                0.91706,                0.72757,                 1.2195,               0.009538,               0.009538,               0.009538
                     17,                0.94963,                0.54057,                 1.1839,                0.81806,                0.98517,                0.83464,                0.64426,                0.91322,                0.70308,                 1.2208,               0.009505,               0.009505,               0.009505
                     18,                0.96388,                0.54033,                 1.1895,                0.81265,                0.98483,                 0.8375,                 0.6396,                0.91227,                0.73065,                 1.2098,               0.009472,               0.009472,               0.009472
                     19,                0.95878,                0.52643,                 1.1848,                0.81328,                 0.9943,                0.83263,                0.64112,                0.90718,                0.60614,                 1.2033,               0.009439,               0.009439,               0.009439
                     20,                 0.9475,                0.52151,                   1.18,                0.82465,                0.99232,                0.83814,                0.65563,                0.89352,                0.66772,                 1.2059,               0.009406,               0.009406,               0.009406
                     21,                 0.9416,                0.50932,                  1.173,                0.81367,                0.99408,                0.86112,                0.66499,                0.91621,                0.64741,                 1.1969,               0.009373,               0.009373,               0.009373
                     22,                0.93551,                0.50393,                 1.1568,                0.81436,                0.97563,                0.83145,                0.64383,                0.90641,                0.65161,                 1.1925,                0.00934,                0.00934,                0.00934
